op_unique_carrier,avg_arr_delay,avg_carrier_delay,avg_weather_delay,avg_nas_delay,avg_late_aircraft_delay,avg_dep_delay
9E,3.78825376833048,20.5449199312404,5.28724102053741,21.2274947977925,31.6742965710667,10.5502521152913
9K,-1.41389728096677,26.7702702702703,0.236486486486486,4.22297297297297,16.9527027027027,-2.7293550331525
AA,6.20912791038777,21.5460572346771,3.41876767467165,14.7692602376753,25.1553828104424,11.1081008416587
AS,0.458070929415826,13.7865306721125,1.36651961503311,18.8460019631957,16.1135381525651,3.8024507961626
AX,15.6141083728361,25.2026166293682,3.56218183606719,15.0458647910877,42.4576150308634,18.1184998013715
B6,11.3289058768938,24.8266802195045,1.91484228742738,17.2132320301594,30.7050971108009,16.796378471349
C5,23.2972264054973,19.6064091045223,4.02261156034741,24.7565438754118,41.0621443545972,25.9521215368739
CP,5.75292040063258,26.4362724258141,1.91029674347419,11.3935889805289,33.6461752118584,10.161674219815
DL,0.464917266347182,23.4552798213828,5.08964898795798,18.4792357527177,19.8299366787453,7.81322701145863
EM,6.43923773820681,13.7231145251397,1.55272346368715,3.50209497206704,41.2992318435754,5.93846058502727
EV,11.4602180918349,27.3176557366056,3.27339904781063,27.6093877824717,25.4856433983773,14.2639897230875
F9,11.2941488682438,19.1907410124725,0.877153338224505,15.3315040352164,35.4148495964784,16.9710476751733
G4,8.94875147143537,26.3263583652857,4.88887590012158,10.4548536425699,29.969582904704,11.4580602294073
G7,8.64522308438409,25.4005774840745,3.94710364946121,16.3845924867536,43.9346609513604,14.2936237858356
HA,0.747958866063305,27.3709013016971,1.646070192783,0.783929257977701,12.3222936233317,1.10489372515022
KS,17.3620949510173,22.2796442687747,4.53458498023715,11.7233201581028,18.3537549407115,19.1441605839416
MQ,6.19253778652698,14.6848800630776,5.4088259918877,17.0586313128439,25.6017248807134,8.58693591784365
NK,5.13504346434857,14.3478932401807,2.49722129999856,34.8770010248712,19.9755763095977,10.4426076430918
OH,7.45728919502942,17.9703940019481,4.0996845482248,10.6561486287231,34.269394028757,11.3556090303242
OO,7.1555290563033,27.6651323088544,6.92501880009847,15.585682924115,31.0004889711709,11.4188576449025
PT,4.44292418376164,14.3262123477889,3.37328206223741,15.0684089344632,29.2053692231005,7.96746438746439
QX,2.05628727957839,12.41007950411,1.4157660692629,13.613178816871,17.9865247271257,3.82346431504777
UA,7.03103949183786,16.0609460640241,4.35566764635793,22.8108785447613,29.4243863690523,11.5366245241902
VX,1.7279776132455,15.4328488372093,0.530232558139535,23.5023255813954,14.3279069767442,6.33300464037123
WN,3.54997553748894,16.7402904800601,1.40532850753558,8.46884138297204,24.4579853645389,10.658826076613
YV,9.6820033833388,26.1754882441109,6.52769512986287,10.6660477394242,33.49855707926,12.5492639335558
YX,3.9466176212438,14.3339924440667,3.21920620629885,24.1263725630432,25.2960529083612,8.006791797696
ZW,7.34772244312951,23.1227282870106,4.00604963677386,19.084992437954,38.5050207026504,11.4049737973297
